Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
6440554,0,-0.09540007359308289,0,1.1224568857237642,0,0.046513607894280176,0,1.6983566166416617,0,0
6440557,0,-0.1460468441860342,0,0.9851449769129843,0,0.012243471589104625,0,1.2485488945140533,0,0
6442842,0,-0.12604172842358274,0,1.066909361114116,0,0.013707585089839616,0,2.2136432736098652,0,0
6540498,0,-0.0066329892443733884,1,1.5127497824701013,0,0.10647862453380405,1,3.9850478914946694,2,1
9570071,0,-0.12977099933322445,0,1.011433547993619,0,0.052637167457840243,0,1.7176011635205362,0,0
9576037,0,-0.06588320334227765,0,1.140717323940075,0,0.035662339142424795,1,4.301661251918487,1,0
9576412,0,-0.023138191578504053,0,1.0086215390233257,0,0.012081617631672158,1,7.884383276759072,1,0
9595287,0,-0.09796429745880592,0,1.1901657499344402,0,0.03043755035027551,0,2.6167267045640665,0,0
9601227,0,-0.13555646673076632,0,1.0111762973757918,0,0.025438393835630995,0,1.4542956139308267,0,0
9809914,0,-0.12082893243520343,0,1.0307000640498891,0,0.02580255461052929,0,1.6732300181519124,0,0
9907412,0,-0.0880086161104281,0,1.0935557400995592,0,0.01625780920825034,1,4.302835480124096,1,0
10342051,0,-0.142407587936837,0,1.0086471552673746,0,0.07963495841106578,0,1.2800558647098945,0,0
10938769,1,0.045727048653008584,0,1.0173792924418898,0,0.048357683443379325,1,7.842322440881201,2,1
11150163,0,-0.05214472373379192,0,1.2979394742567996,0,0.0291409580236711,0,2.6481051770348185,0,0
22883840,0,-0.13659647105849304,0,1.0110669574568303,1,0.15458093105253476,0,2.174056634402539,1,0
25137678,0,-0.0741850348091207,0,1.1916725369803636,0,0.02233389451549828,0,3.4109370875827163,0,0
29934831,0,-0.13689984980406916,0,0.9952507579886831,0,0.033538657377729666,0,1.3813897147689083,0,0
53297383,0,-0.014832610383798683,0,1.114491020605977,0,0.10459036356118398,1,4.357268488685134,1,0
56608859,0,-0.0607098388654998,0,1.2761625300112136,0,0.017276609034844452,0,2.201168597790824,0,0
71593923,0,-0.0026729430993915893,0,1.0063141108677034,0,0.10437023785498976,1,6.580614846571506,1,0
76318728,0,-0.05272680158436949,0,0.9957714498492969,0,0.02734612191502193,1,7.916350729927131,1,0
86287518,0,-0.03539989987008524,0,1.2693299562620246,0,0.07245561252745006,0,2.968526679401154,0,0
86287519,1,0.003636569115423316,0,1.1707141227321909,1,0.21600434756623313,1,7.922470914752704,3,1
86739665,0,-0.06879944132740118,0,1.1792840502807462,0,0.06993440475968159,0,3.280328133852887,0,0
132247025,0,-0.11871022441666124,0,1.1887700074736158,0,0.0149449796364392,1,3.842287816194496,1,0
135491728,0,-0.07908152641723781,0,1.1683443203458401,0,0.029366546900487372,1,3.5498486110499017,1,0
135491830,0,-0.13704802767051677,0,1.0190941096994082,0,0.026786956878349096,0,2.0201988510899676,0,0
135503327,0,-0.10560252370655643,0,1.094576642362084,0,0.0727250038727558,0,2.9102089196932774,0,0
135527764,0,-0.1401588889921953,0,1.0286138827500715,1,0.18324899453209426,0,2.3148644596825534,1,0
135529435,0,-0.09903282166461747,0,1.0883700755764674,0,0.05442893581853369,0,2.041945078782148,0,0
135541675,0,-0.14532279576125973,0,0.9893968185087259,0,0.01060874552337189,0,1.4463474236999383,0,0
135616187,0,-0.0913449615742985,0,1.1793900710715441,0,0.02318190572284923,0,2.2844986694505733,0,0
135779804,0,-0.03127249507305907,0,1.1817492188931182,0,0.017613786418753122,1,4.002468254014248,1,0
135846942,0,-0.03221438718195979,0,1.2129356574493992,0,0.04143739962016917,0,2.247455050353703,0,0
136191021,0,-0.13050841430967797,0,1.0114258383943664,0,0.029164468883635483,0,1.1740795385215903,0,0
136257761,0,-0.14465881304194717,0,1.0032806206040183,0,0.023274544586954722,0,1.459858007462493,0,0
136469009,0,-0.08823858981962235,0,1.2694116115535938,0,0.04513601947695025,0,2.3811535189850015,0,0
136737979,1,0.07994004672371424,0,1.1605303457147889,1,0.2238372889112624,1,8.010930116462626,3,1
136912649,0,-0.13769690699257797,0,1.0053460698428407,0,0.020751556705165635,0,1.2229898634430534,0,0
146158032,0,-0.10199684907735729,0,1.062521179583799,0,0.1005948142408519,0,1.7240519525382885,0,0
